City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,date
Bubaque,GW,11.2833,-15.8333,78.75,83,100,8.77,1663737093
Zhangye,CN,38.9342,100.4517,75.69,21,95,21.05,1663737094
Kokkola,FI,63.8385,23.1307,44.92,95,0,1.14,1663737094
Holeby,DK,54.7115,11.4642,50.7,81,29,5.46,1663737094
Kapaa,US,22.0752,-159.319,84.18,79,75,12.66,1663737095
Nikolskoye,RU,59.7035,30.7861,49.78,95,99,5.17,1663737095
Port Alfred,ZA,-33.5906,26.891,57.79,74,1,9.24,1663737096
Guerrero Negro,MX,27.9769,-114.0611,71.65,78,47,10.22,1663737096
Rikitea,PF,-23.1203,-134.9692,73.31,75,7,16.13,1663737097
Saint-Philippe,RE,-21.3585,55.7679,76.59,81,83,13.51,1663737097
Bluff,NZ,-46.6,168.3333,50.81,75,32,6.78,1663737098
Ribeira Grande,PT,38.5167,-28.7,74.17,80,29,6.02,1663737098
Bontang,ID,0.1333,117.5,77.34,87,100,7.02,1663737098
Pisco,PE,-13.7,-76.2167,58.01,82,75,5.75,1663737099
Atuona,PF,-9.8,-139.0333,76.59,79,12,20.85,1663737099
Cap Malheureux,MU,-19.9842,57.6142,74.46,69,3,10,1663737100
Bonavista,CA,48.6499,-53.1147,49.26,74,0,1.57,1663737100
Kapoeta,SS,4.7717,33.5903,79.12,56,99,6.13,1663737101
Vaini,TO,-21.2,-175.2,75.36,88,75,9.22,1663737101
George Town,MY,5.4112,100.3354,85.95,74,20,0,1663736802
Ancud,CL,-41.8697,-73.8203,40.32,88,29,1.68,1663737102
Kalabo,ZM,-14.97,22.6814,70.09,32,70,6.96,1663737102
Hermanus,ZA,-34.4187,19.2345,48.79,68,38,4.27,1663737103
Orzinuovi,IT,45.404,9.9216,61.48,77,85,10.69,1663737131
Borogontsy,RU,62.6683,131.1683,41.83,35,0,9.24,1663737131
Hobart,AU,-42.8794,147.3294,68.05,61,75,10.36,1663737132
Lagos,NG,6.5833,3.75,73.81,95,99,2.39,1663737132
Saint Paul Harbor,US,57.79,-152.4072,53.11,62,100,8.05,1663737133
Tasiilaq,GL,65.6145,-37.6368,37.56,99,100,0.38,1663737133
Geraldton,AU,-28.7667,114.6,68.41,60,23,10.36,1663737062
Viedma,AR,-40.8135,-62.9967,41.72,83,0,10,1663737134
Guasdualito,VE,7.2424,-70.7324,73.17,96,80,3.74,1663737135
Busselton,AU,-33.65,115.3333,61.66,72,70,19.22,1663737135
Tuatapere,NZ,-46.1333,167.6833,52.83,74,55,3.87,1663737136
Desnogorsk,RU,54.1508,33.2815,47.28,95,100,1.48,1663737136
Tiarei,PF,-17.5333,-149.3333,78.82,74,29,18.37,1663737137
Santa Maria,BR,-29.6842,-53.8069,59.38,91,50,8.63,1663737011
